team_id,name,abbr,nickname,logo_file_name,city_id,park_id,league_id,sub_league_id,division_id,nation_id,parent_team_id,level,prevent_any_moves,human_team,human_id,gender,background_color_id,text_color_id,ballcaps_main_color_id,ballcaps_visor_color_id,jersey_main_color_id,jersey_away_color_id,jersey_secondary_color_id,jersey_pin_stripes_color_id,allstar_team,historical_id
180,"El Paso","EP","Chihuahuas","el_paso_chihuahuas.png",23176,104,102,1,1,206,53,2,0,0,0,0,"#E1B87F","#BA0C2F","#E1B87F","#BA0C2F","#E1B87F","#E1B87F","#BA0C2F","#BA0C2F",0,""
181,"Salt Lake","SL","Bees","salt_lake_bees.png",69520,105,102,1,1,206,44,2,0,0,0,0,"#F2A900","#2D2926","#F2A900","#2D2926","#F2A900","#F2A900","#2D2926","#2D2926",0,""
182,"Tacoma","TAC","Rainiers","tacoma_rainiers.png",77882,106,102,1,0,206,54,2,0,0,0,0,"#0C2340","#FFFFFF","#0C2340","#FFFFFF","#0C2340","#0C2340","#FFFFFF","#FFFFFF",0,""
183,"Fresno","FRE","Grizzlies","fresno_grizzlies.png",24787,107,102,1,0,206,42,2,0,0,0,0,"#FA4616","#2D2926","#FA4616","#2D2926","#FA4616","#FA4616","#2D2926","#2D2926",0,""
184,"Albuquerque","ABQ","Isotopes","albuquerque_isotopes.png",1405,108,102,1,1,206,39,2,0,0,0,0,"#BA0C2F","#FEDB00","#BA0C2F","#FEDB00","#BA0C2F","#BA0C2F","#FEDB00","#FEDB00",0,""
185,"Sacramento","SAC","River Cats","sacramento_river_cats.png",67700,109,102,1,0,206,55,2,0,0,0,0,"#B3A369","#862633","#B3A369","#862633","#B3A369","#B3A369","#862633","#862633",0,""
186,"Reno","REN","Aces","reno_aces.png",66889,110,102,1,0,206,31,2,0,0,0,0,"#0C2340","#FFFFFF","#0C2340","#FFFFFF","#0C2340","#0C2340","#FFFFFF","#FFFFFF",0,""
187,"Binghamton","BIN","Mets","binghamton_mets.png",9591,111,103,0,0,206,49,3,0,0,0,0,"#003087","#F9423A","#003087","#F9423A","#003087","#003087","#F9423A","#F9423A",0,""
188,"New Britain","NBR","Rock Cats","new_britain_rock_cats.png",55064,112,103,0,0,206,39,3,0,0,0,0,"#E4002B","#8A8D8F","#E4002B","#8A8D8F","#E4002B","#E4002B","#8A8D8F","#8A8D8F",0,""
189,"New Hampshire","NHA","Fisher Cats","new_hampshire_fisher_cats.png",47541,113,103,0,0,206,59,3,0,0,0,0,"#0C2340","#C8102E","#0C2340","#C8102E","#0C2340","#0C2340","#C8102E","#C8102E",0,""
